country,City,Restaurants_Count
India,New Delhi,5473
India,Gurgaon,1118
India,Noida,1080
India,Faridabad,251
India,Ghaziabad,25
India,Ahmedabad,21
India,Amritsar,21
India,Bhubaneshwar,21
India,Guwahati,21
India,Lucknow,21
Austalia,Cape Town,20
Austalia,Pretoria,20
Canada,Ankara,20
France,Doha,20
HingKong,Auckland,20
HingKong,Wellington City,20
India,Agra,20
India,Allahabad,20
India,Aurangabad,20
India,Bangalore,20
India,Bhopal,20
India,Chennai,20
India,Coimbatore,20
India,Dehradun,20
India,Goa,20
India,Indore,20
India,Jaipur,20
India,Kanpur,20
India,Kochi,20
India,Kolkata,20
India,Ludhiana,20
India,Mangalore,20
India,Mumbai,20
India,Mysore,20
India,Nagpur,20
India,Nashik,20
India,Patna,20
India,Puducherry,20
India,Pune,20
India,Ranchi,20
India,Surat,20
India,Vadodara,20
India,Varanasi,20
India,Vizag,20
Malayasia,Brasí_lia,20
Malayasia,Rio de Janeiro,20
Malayasia,Sí£o Paulo,20
New Zealand,Colombo,20
Switzerland,Singapore,20
UAE,Abu Dhabi,20
UAE,Dubai,20
UAE,Sharjah,20
UK,Birmingham,20
UK,Edinburgh,20
UK,London,20
UK,Manchester,20
USA,Albany,20
USA,Athens,20
USA,Augusta,20
USA,Boise,20
USA,Cedar Rapids/Iowa City,20
USA,Columbus,20
USA,Dalton,20
USA,Davenport,20
USA,Des Moines,20
USA,Dubuque,20
USA,Gainesville,20
USA,Macon,20
USA,Orlando,20
USA,Pensacola,20
USA,Pocatello,20
USA,Rest of Hawaii,20
USA,Savannah,20
USA,Sioux City,20
USA,Tampa Bay,20
USA,Valdosta,20
USA,Waterloo,20
India,Chandigarh,18
India,Hyderabad,18
Singapore,Jakarta,16
Canada,ÛÁstanbul,14
Austalia,Sandton,11
Austalia,Johannesburg,6
Nigeria,Mandaluyong City,4
Nigeria,Taguig City,4
Nigeria,Pasay City,3
Nigeria,Pasig City,3
Austalia,Inner City,2
India,Secunderabad,2
Nigeria,Makati City,2
Nigeria,San Juan City,2
Nigeria,Santa Rosa,2
Singapore,Bogor,2
Singapore,Tangerang,2
South Africa,Hepburn Springs,2
Austalia,Randburg,1
India,Mohali,1
India,Panchkula,1
Nigeria,Quezon City,1
Nigeria,Tagaytay City,1
Singapore,Bandung,1
South Africa,Armidale,1
South Africa,Balingup,1
South Africa,Beechworth,1
South Africa,Dicky Beach,1
South Africa,East Ballina,1
South Africa,Flaxton,1
South Africa,Forrest,1
South Africa,Huskisson,1
South Africa,Inverloch,1
South Africa,Lakes Entrance,1
South Africa,Lorn,1
South Africa,Macedon,1
South Africa,Mayfield,1
South Africa,Middleton Beach,1
South Africa,Montville,1
South Africa,Palm Cove,1
South Africa,Paynesville,1
South Africa,Penola,1
South Africa,Phillip Island,1
South Africa,Tanunda,1
South Africa,Trentham East,1
South Africa,Victor Harbor,1
USA,Clatskanie,1
USA,Cochrane,1
USA,Fernley,1
USA,Lakeview,1
USA,Lincoln,1
USA,Mc Millan,1
USA,Miller,1
USA,Monroe,1
USA,Ojo Caliente,1
USA,Potrero,1
USA,Princeton,1
USA,Vernonia,1
USA,Weirton,1
USA,Winchester Bay,1
